User,Name,Featured In - Page,Featured In - Link,Quality Image,Featured Image,Valued Image
Tagooty,Debre Libanos Monastery Ethiopia Oct19 D72 12186,Zentraläthiopien,https://de.wikivoyage.org/wiki/Zentral%C3%A4thiopien,True,,True
Tagooty,Debre Libanos Monastery Ethiopia Oct19 D72 12186,Debre Libanos,https://en.wikipedia.org/wiki/Debre_Libanos,True,,True
Tagooty,Debre Libanos Monastery Ethiopia Oct19 D72 12186,Hector Corfiato,https://en.wikipedia.org/wiki/Hector_Corfiato,True,,True
Tagooty,Debre Libanos Monastery Ethiopia Oct19 D72 12186,Central Ethiopia,https://en.wikivoyage.org/wiki/Central_Ethiopia,True,,True
Tagooty,Debre Libanos Monastery Ethiopia Oct19 D72 12186,Q2511832,https://www.wikidata.org/wiki/Q2511832,True,,True
Tagooty,Teff Village Oromia Ethiopia Oct19 R16 02202,Teff,https://en.wikipedia.org/wiki/Teff,,,
Tagooty,Gravestone Groat Pierowall Orkney Jul14 DSC 5410,Westray,https://en.wikipedia.org/wiki/Westray,,,
Tagooty,Assynt Church Inchnadamph Scotland Jul14 DSC 5263,Inchnadamph,https://en.wikipedia.org/wiki/Inchnadamph,True,,True
Tagooty,Assynt Church Inchnadamph Scotland Jul14 DSC 5263,Q17815407,https://www.wikidata.org/wiki/Q17815407,True,,True
Tagooty,Sunset Pierowall Village View Westray Orkney Jul14 DSC 5380,Westray,https://en.wikipedia.org/wiki/Westray,,,
Tagooty,East View Quoygrew Westray Orkneys Jul14 DSC 5423,Westray,https://en.wikipedia.org/wiki/Westray,,,
Tagooty,West View Quoygrew Westray Orkneys Jul14 DSC 5421,Westray,https://en.wikipedia.org/wiki/Westray,True,,True
Tagooty,West View Quoygrew Westray Orkneys Jul14 DSC 5421,Q106936386,https://www.wikidata.org/wiki/Q106936386,True,,True
Tagooty,Info Board Quoygrew Westray Orkneys Jul14 DSC 5420,Westray,https://en.wikipedia.org/wiki/Westray,True,,
Tagooty,Kibber Spiti Himachal Jun18 D72 7488,Q102002345,https://www.wikidata.org/wiki/Q102002345,,,
